facility_name,country,latitude,longitude
Barro Alto,Brazil,-15.0756265720048,-48.9436201118868
Barro Alto,Brazil,-15.0756265720048,-48.9436201118868
Bloom Lake,Canada,52.8512467027102,-67.2973480763087
Bloom Lake,Canada,52.8512467027102,-67.2973480763087
Bloom Lake,Canada,52.8512467027102,-67.2973480763087
Carosue Dam,Australia,-30.1535719,122.3509579
Carosue Dam,Australia,-30.1535719,122.3509579
Central Murchison Gold Project,Australia,-27.3181540577638,117.655500293114
Central Murchison Gold Project,Australia,-27.3181540577638,117.655500293114
Codemin,Brazil,-14.1567711,-48.340014
Codemin,Brazil,-14.1567711,-48.340014
Darlot,Australia,-27.8963189,121.2726657
Darlot,Australia,-27.8963189,121.2726657
Deflector,Australia,-28.6614115,116.3743459
Deflector,Australia,-28.6614115,116.3743459
DeGrussa,Australia,-25.5399495,119.3229267
DeGrussa,Australia,-25.5399495,119.3229267
DeGrussa,Australia,-25.5399495,119.3229267
Duketon,Australia,-27.781762400182732,122.33469170417601
Duketon,Australia,-27.781762400182732,122.33469170417601
Edikan,Ghana,5.9624411301705,-1.93314519687059
Edikan,Ghana,5.9624411301705,-1.93314519687059
Edna May,Australia,-31.285881,118.6949462
Edna May,Australia,-31.285881,118.6949462
El Soldado,Chile,-32.6520941,-71.1648889
El Soldado,Chile,-32.6520941,-71.1648889
Extension Hill/Iron Hill,Australia,-29.5705084556079,117.148109850998
Extension Hill/Iron Hill,Australia,-29.5705084556079,117.148109850998
Extension Hill/Iron Hill,Australia,-29.5705084556079,117.148109850998
Fortescue Pilbara Region,Australia,-22.301577602417503,118.37368010778839
Fortescue Pilbara Region,Australia,-22.301577602417503,118.37368010778839
Fortnum Gold Operations,Australia,-25.3293289,118.3562568
Fortnum Gold Operations,Australia,-25.3293289,118.3562568
Halls Creek,Australia,-18.4086445092129,127.356786678568
Halls Creek,Australia,-18.4086445092129,127.356786678568
Iron Valley,Australia,-22.7155978,119.3280271
Iron Valley,Australia,-22.7155978,119.3280271
Jundee,Australia,-26.3585605,120.6199355
Jundee,Australia,-26.3585605,120.6199355
Karouni,Guyana,5.44973344935716,-58.7600994361596
Karouni,Guyana,5.44973344935716,-58.7600994361596
KMAruda,Russian Federation,51.289823373577,37.5671030648884
Kolomela,South Africa,-28.3808257,22.9638704
Kolomela,South Africa,-28.3808257,22.9638704
Koolan Island,Australia,-16.131541,123.7573596
Koolan Island,Australia,-16.131541,123.7573596
Koolan Island,Australia,-16.131541,123.7573596
Koolyanobbing,Australia,-30.8238788,119.5192378
Koolyanobbing,Australia,-30.8238788,119.5192378
Korshunov,Russian Federation,56.90972760648825,103.90811498897449
Korshunov,Russian Federation,56.90972760648825,103.90811498897449
Korshunov,Russian Federation,56.90972760648825,103.90811498897449
Leonora,Australia,-28.9142522453794,121.330379178583
Leonora,Australia,-28.9142522453794,121.330379178583
Los Bronces,Chile,-33.15374569301533,-70.43774786284966
Los Bronces,Chile,-33.15374569301533,-70.43774786284966
Maly Kuybas,Russian Federation,53.4235579616263,59.1200561110384
Maly Kuybas,Russian Federation,53.4235579616263,59.1200561110384
Martabe,Indonesia,1.5121182718548,99.0649813007943
Martabe,Indonesia,1.5121182718548,99.0649813007943
Mount Marion,Australia,-31.0808781452652,121.433796427882
Mount Monger,Australia,-31.0148239,121.9232711
Mount Monger,Australia,-31.0148239,121.9232711
Mt Magnet,Australia,-28.0273526165714,117.81681717003
Mt Magnet,Australia,-28.0273526165714,117.81681717003
Northern Star Kalgoorlie Operations,Australia,-30.721081226761,121.236977088747
Northern Star Kalgoorlie Operations,Australia,-30.721081226761,121.236977088747
Pogo,United States of America,64.4535064,-144.9045104
Pogo,United States of America,64.4535064,-144.9045104
Renison,Australia,-41.7952351,145.4358043
Renison,Australia,-41.7952351,145.4358043
Simberi,Papua New Guinea,-2.6222416,151.9985962
Simberi,Papua New Guinea,-2.6222416,151.9985962
Sishen,South Africa,-27.78179,22.9849089
Sishen,South Africa,-27.78179,22.9849089
Sissingue,Cote d'Ivoire,10.4318505,-6.1831141
Sissingue,Cote d'Ivoire,10.4318505,-6.1831141
Thalanga,Australia,-20.3367179,145.7731249
Thalanga,Australia,-20.3367179,145.7731249
Thalanga,Australia,-20.3367179,145.7731249
Thalanga,Australia,-20.3367179,145.7731249
Thalanga,Australia,-20.3367179,145.7731249
Thunderbox,Australia,-28.1792647,121.0007843
Thunderbox,Australia,-28.1792647,121.0007843
Touquoy,Canada,44.9864575108258,-62.9173664011683
Touquoy,Canada,44.9864575108258,-62.9173664011683
Tritton,Australia,-31.397238,146.722368
Tritton,Australia,-31.397238,146.722368
Tritton,Australia,-31.397238,146.722368
Tritton,Australia,-31.397238,146.722368
Wiluna,Australia,-26.6292127236839,120.255726473644
Wiluna,Australia,-26.6292127236839,120.255726473644
Wodgina,Australia,-21.1760014,118.6771076
Wodgina,Australia,-21.1760014,118.6771076
